t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1562729600.2119045,+1.5990,+002.10,+1.6865,0,000,+000.95
1562729644.2599826,+1.5990,+002.10,+1.6864,0,000,+000.95
1562729688.3081012,+1.5989,+002.10,+1.6863,0,000,+000.95
1562729732.355997,+1.5989,+002.10,+1.6863,0,000,+000.95
1562729776.4039488,+1.5989,+002.11,+1.6864,0,000,+000.95
1562729820.4519732,+1.5988,+002.11,+1.6863,0,000,+000.95
1562729864.499847,+1.5988,+002.11,+1.6863,0,000,+000.95
1562729908.547779,+1.5988,+002.11,+1.6862,0,000,+000.95
1562729952.5959895,+1.5988,+002.11,+1.6862,0,000,+000.95
1562729996.6440287,+1.5988,+002.11,+1.6863,0,000,+000.95
1562730040.6921372,+1.5989,+002.11,+1.6864,0,000,+000.95
1562730084.7400877,+1.5989,+002.11,+1.6863,0,000,+000.95
1562730128.7880373,+1.5989,+002.10,+1.6864,0,000,+000.95
1562730172.8360596,+1.5989,+002.10,+1.6864,0,000,+000.95
1562730216.8840175,+1.5991,+002.10,+1.6865,0,000,+000.95
1562730260.9320056,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730304.9801667,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730349.0282407,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730393.07615,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730437.1240542,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730481.1721354,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730525.2202373,+1.5989,+002.10,+1.6864,0,000,+000.95
1562730569.2682464,+1.5989,+002.10,+1.6863,0,000,+000.95
1562730613.316107,+1.5988,+002.10,+1.6863,0,000,+000.95
1562730657.3641508,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730701.4097595,+1.5990,+002.10,+1.6865,0,000,+000.95
1562730745.4567378,+1.5989,+002.10,+1.6864,0,000,+000.95
1562730789.504736,+1.5989,+002.10,+1.6864,0,000,+000.95
1562730833.552649,+1.5989,+002.10,+1.6863,0,000,+000.95
1562730877.600604,+1.5990,+002.10,+1.6864,0,000,+000.95
1562730921.6483102,+1.5989,+002.10,+1.6864,0,000,+000.95
1562730965.6963425,+1.5989,+002.10,+1.6864,0,000,+000.95
1562731009.744172,+1.5989,+002.10,+1.6865,0,000,+000.95
1562731053.7920568,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731097.8397765,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731141.8875053,+1.5989,+002.10,+1.6864,0,000,+000.95
1562731185.9328558,+1.5989,+002.10,+1.6864,0,000,+000.95
1562731229.9805768,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731274.0247893,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731318.0723777,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731362.1200762,+1.5990,+002.10,+1.6866,0,000,+000.95
1562731406.1676261,+1.5991,+002.09,+1.6866,0,000,+000.95
1562731450.2149215,+1.5990,+002.10,+1.6864,0,000,+000.95
1562731494.2625642,+1.5988,+002.10,+1.6864,0,000,+000.95
1562731538.310382,+1.5989,+002.10,+1.6864,0,000,+000.95
1562731582.3583252,+1.5990,+002.10,+1.6864,0,000,+000.95
1562731626.4062126,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731670.4539812,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731714.5013878,+1.5990,+002.10,+1.6864,0,000,+000.95
1562731758.547835,+1.5990,+002.10,+1.6864,0,000,+000.95
1562731802.595483,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731846.643081,+1.5990,+002.10,+1.6864,0,000,+000.95
1562731890.6897423,+1.5990,+002.10,+1.6865,0,000,+000.95
1562731934.73742,+1.5989,+002.10,+1.6864,0,000,+000.95
1562731978.7851837,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732022.8329396,+1.5989,+002.10,+1.6863,0,000,+000.95
1562732066.8806727,+1.5988,+002.11,+1.6863,0,000,+000.95
1562732110.9256947,+1.5989,+002.11,+1.6863,0,000,+000.95
1562732154.9733696,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732199.0210211,+1.5989,+002.10,+1.6865,0,000,+000.95
1562732243.0687418,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732287.1165044,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732331.1642618,+1.5990,+002.10,+1.6865,0,000,+000.95
1562732375.2120123,+1.5991,+002.10,+1.6866,0,000,+000.95
1562732419.2597222,+1.5990,+002.10,+1.6865,0,000,+000.95
1562732463.307486,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732507.3542092,+1.5989,+002.11,+1.6863,0,000,+000.95
1562732551.4018245,+1.5989,+002.10,+1.6863,0,000,+000.95
1562732595.449482,+1.5989,+002.11,+1.6864,0,000,+000.95
1562732639.4972825,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732683.5450008,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732727.592417,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732771.6399436,+1.5990,+002.10,+1.6865,0,000,+000.95
1562732815.687617,+1.5990,+002.10,+1.6864,0,000,+000.95
1562732859.7351782,+1.5990,+002.10,+1.6864,0,000,+000.95
1562732903.7818718,+1.5989,+002.10,+1.6865,0,000,+000.95
1562732947.828113,+1.5989,+002.10,+1.6864,0,000,+000.95
1562732991.875551,+1.5990,+002.10,+1.6864,0,000,+000.95
1562733035.923022,+1.5989,+002.10,+1.6864,0,000,+000.95
1562733079.9677422,+1.5990,+002.10,+1.6865,0,000,+000.95
1562733124.013887,+1.5989,+002.10,+1.6864,0,000,+000.95
1562733168.0616283,+1.5989,+002.10,+1.6865,0,000,+000.95
1562733212.1093705,+1.5990,+002.10,+1.6865,0,000,+000.95
1562733256.1570153,+1.5990,+002.10,+1.6864,0,000,+000.95
1562733300.204528,+1.5990,+002.10,+1.6864,0,000,+000.95
1562733344.2520456,+1.5990,+002.10,+1.6865,0,000,+000.95
1562733388.2997231,+1.5991,+002.09,+1.6867,0,000,+000.95
1562733432.3474061,+1.5991,+002.09,+1.6866,0,000,+000.95
1562733476.395114,+1.5990,+002.10,+1.6864,0,000,+000.95
1562733520.4428334,+1.5990,+002.10,+1.6864,0,000,+000.95
1562733564.4904795,+1.5990,+002.10,+1.6866,0,000,+000.95
1562733608.5382328,+1.5990,+002.10,+1.6866,0,000,+000.95
1562733652.5858462,+1.5991,+002.09,+1.6866,0,000,+000.95
1562733696.6334896,+1.5991,+002.10,+1.6865,0,000,+000.95
1562733740.6812735,+1.5990,+002.10,+1.6865,0,000,+000.95
1562733784.7274384,+1.5990,+002.10,+1.6866,0,000,+000.95
1562733828.7751167,+1.5991,+002.09,+1.6866,0,000,+000.95
1562733872.8228638,+1.5990,+002.10,+1.6864,0,000,+000.95
1562733916.8704882,+1.5989,+002.10,+1.6863,0,000,+000.95
1562733960.9180527,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734004.965655,+1.5990,+002.10,+1.6865,0,000,+000.95
1562734049.0133617,+1.5990,+002.10,+1.6866,0,000,+000.95
