#time	diode A	diode B
1519947969.8	11.038932	11.245638
1519947989.9	11.039040	11.245709
1519948010.0	11.039042	11.245784
1519948030.0	11.038776	11.245430
1519948050.1	11.038930	11.245551
1519948070.2	11.039129	11.245768
1519948090.2	11.039082	11.245758
1519948110.3	11.038983	11.245646
1519948130.4	11.039318	11.246009
1519948150.5	11.038977	11.245588
1519948170.5	11.039702	11.246420
1519948190.6	11.039298	11.245961
1519948210.6	11.038899	11.245613
1519948230.7	11.038896	11.245516
1519948250.8	11.038749	11.245431
1519948270.8	11.038665	11.245412
1519948290.9	11.039168	11.245884
1519948311.0	11.039520	11.246238
1519948331.0	11.039073	11.245823
1519948351.1	11.039391	11.246084
1519948371.2	11.039859	11.246548
1519948391.3	11.039575	11.246255
1519948411.3	11.040067	11.246814
1519948431.4	11.040160	11.246898
1519948451.5	11.039648	11.246364
1519948471.6	11.039639	11.246398
1519948491.6	11.039641	11.246347
1519948511.7	11.039898	11.246632
1519948531.8	11.039390	11.246119
1519948551.8	11.039220	11.245875
1519948571.9	11.039458	11.246110
1519948592.0	11.040100	11.246787
1519948612.1	11.039766	11.246485
1519948632.1	11.040007	11.246699
1519948652.2	11.039505	11.246154
1519948672.3	11.039951	11.246697
1519948692.3	11.039730	11.246575
1519948712.4	11.039991	11.246671
1519948732.5	11.039739	11.246445
1519948752.6	11.039737	11.246518
1519948772.6	11.039884	11.246555
1519948792.7	11.040321	11.247040
1519948812.8	11.040648	11.247365
1519948832.8	11.040960	11.247707
1519948852.9	11.040646	11.247427
1519948873.0	11.040732	11.247435
1519948893.1	11.041212	11.248005
1519948913.1	11.040354	11.247072
1519948933.2	11.040242	11.246997
1519948953.3	11.039850	11.246573
1519948973.4	11.039553	11.246340
1519948993.4	11.039488	11.246158
1519949013.5	11.040045	11.246764
1519949033.6	11.040496	11.247184
1519949053.7	11.040382	11.247104
1519949073.7	11.040490	11.247162
1519949093.8	11.039754	11.246418
1519949113.9	11.039567	11.246226
1519949134.0	11.039797	11.246500
1519949154.0	11.040262	11.246949
1519949174.1	11.040469	11.247105
1519949194.2	11.040991	11.247718
1519949214.2	11.040542	11.247239
1519949234.3	11.040280	11.246935
1519949254.4	11.040164	11.246842
1519949274.4	11.039575	11.246249
1519949294.5	11.039753	11.246404
1519949314.6	11.039752	11.246444
1519949334.6	11.039795	11.246516
1519949354.7	11.039990	11.246693
1519949374.8	11.039996	11.246684
1519949394.8	11.040305	11.246995
1519949414.9	11.040546	11.247281
1519949435.0	11.040315	11.247005
1519949455.1	11.040466	11.247199
1519949475.1	11.040368	11.247054
1519949495.2	11.039939	11.246683
1519949515.3	11.040494	11.247206
1519949535.3	11.040334	11.247060
1519949555.4	11.040450	11.247167
1519949575.4	11.040684	11.247375
1519949595.5	11.041001	11.247691
1519949615.6	11.040850	11.247484
1519949635.7	11.041443	11.248158
1519949655.7	11.041438	11.248169
1519949675.8	11.041490	11.248199
1519949695.9	11.041190	11.247968
1519949715.9	11.041207	11.247938
1519949736.0	11.041376	11.248070
1519949756.1	11.041082	11.247815
1519949776.2	11.041574	11.248368
1519949796.2	11.041521	11.248251
1519949816.3	11.041482	11.248184
1519949836.4	11.040950	11.247644
1519949856.5	11.040625	11.247382
1519949876.5	11.041013	11.247775
1519949896.6	11.040729	11.247441
1519949916.7	11.040939	11.247704
1519949936.8	11.040860	11.247620
1519949956.8	11.040887	11.247672
1519949976.9	11.041403	11.248110
1519949997.0	11.041864	11.248568
1519950017.0	11.041445	11.248153
1519950037.1	11.041646	11.248402
1519950057.2	11.041686	11.248446
1519950077.3	11.041267	11.248010
1519950097.3	11.041351	11.248090
1519950117.4	11.041468	11.248273
1519950137.5	11.041821	11.248515
1519950157.5	11.041822	11.248636
1519950177.6	11.042141	11.248965
1519950197.7	11.042517	11.249301
1519950217.8	11.042320	11.249063
1519950237.8	11.042063	11.248866
1519950257.9	11.042162	11.248881
1519950278.0	11.041718	11.248544
1519950298.0	11.041932	11.248657
1519950318.1	11.041975	11.248712
1519950338.2	11.042446	11.249301
1519950358.2	11.042771	11.249506
1519950378.3	11.042087	11.248853
1519950398.4	11.041842	11.248590
1519950418.5	11.041981	11.248748
1519950438.5	11.042065	11.248779
1519950458.6	11.042064	11.248804
1519950478.7	11.042451	11.249232
1519950498.8	11.042265	11.249041
1519950518.8	11.042280	11.249002
1519950538.9	11.042295	11.249061
1519950559.0	11.041964	11.248754
1519950579.0	11.041837	11.248549
1519950599.1	11.042359	11.249114
1519950619.2	11.042507	11.249275
1519950639.3	11.042859	11.249644
1519950659.3	11.041836	11.248626
1519950679.4	11.042099	11.248870
