t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1564258508.3283288,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258540.3638725,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258572.3993394,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258604.4349923,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258636.4705822,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258668.5063257,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258700.5419476,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258732.5777457,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258764.6133869,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258796.6491344,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258828.6848083,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258860.720328,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258892.7551885,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258924.7909496,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258956.8265848,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258988.8622708,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259020.8979006,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259052.932241,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259084.9680028,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259117.003715,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259149.0395417,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259181.075213,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259213.1110291,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259245.14664,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259277.1823657,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259309.2180529,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259341.2537408,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259373.2894213,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259405.325136,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259437.360831,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259469.396531,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259501.4321969,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259533.4678404,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259565.503534,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259597.5392482,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259629.575027,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259661.6106312,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259693.6463594,+0.5735,+295.0,+0.5309,0,000,+324.9
